iter	Logloss
0	0.6909371099
1	0.6886111939
2	0.6869582887
3	0.68441696
4	0.6807591448
5	0.6779311444
6	0.6771400145
7	0.6756982887
8	0.6733201468
9	0.6716199261
10	0.669465619
11	0.6667872845
12	0.6645178548
13	0.6625042506
14	0.6604859955
15	0.6586143998
16	0.6553585077
17	0.6528389137
18	0.6513577429
19	0.6502767045
20	0.6481968294
21	0.6464816953
22	0.6444576533
23	0.6430444405
24	0.6422267094
25	0.6404590009
26	0.6379513396
27	0.6368384859
28	0.6351959867
29	0.6340021711
30	0.6312542741
31	0.6295301087
32	0.6270483475
33	0.6253465177
34	0.6234993939
35	0.6214155318
36	0.6198154284
37	0.6191709268
38	0.6176278229
39	0.6162250877
40	0.6152851368
41	0.6130921242
42	0.6117852109
43	0.6101098549
44	0.6085986333
45	0.6075206776
46	0.6065722182
47	0.6054769247
48	0.6045756501
49	0.6033890721
50	0.602487604
51	0.6015116945
52	0.5998063147
53	0.5985423161
54	0.5971421576
55	0.5965353127
56	0.5958723481
57	0.5955136474
58	0.5945075922
59	0.5932182771
60	0.5911019121
61	0.5902556106
62	0.589591017
63	0.5875336532
64	0.5859703397
65	0.5847887319
66	0.5834166025
67	0.5817675613
68	0.5806676638
69	0.5798845857
70	0.5789977772
71	0.5779660524
72	0.5775825941
73	0.5759968863
74	0.5745190002
75	0.5737354183
76	0.573358221
77	0.5723696659
78	0.5722748414
79	0.5705889875
80	0.5693528559
81	0.5693005646
82	0.5677840159
83	0.5675328464
84	0.5664873255
85	0.5660745452
86	0.5649928046
87	0.5644736198
88	0.5642014825
89	0.5632567417
90	0.5626716687
91	0.5617774387
92	0.5603626398
93	0.5597906334
94	0.5596265795
95	0.558993208
96	0.5580133028
97	0.5575610055
98	0.5566946822
99	0.5555054013
100	0.5548986281
101	0.5545575268
102	0.5541174102
103	0.5533533518
104	0.5524529796
105	0.5515665864
106	0.551057289
107	0.550771043
108	0.549752982
109	0.5486035501
110	0.5480833044
111	0.5469585625
112	0.5466105292
113	0.5461250582
114	0.5459444018
115	0.545576813
116	0.5448583588
117	0.5447251398
118	0.5444020336
119	0.543947798
120	0.5434891774
121	0.5432998196
122	0.5423272612
123	0.5417773765
124	0.5405389925
125	0.5403085899
126	0.5390917954
127	0.5387116688
128	0.5383924217
129	0.5374171119
130	0.5363300778
131	0.5347315243
132	0.5340723051
133	0.533706742
134	0.5331604336
135	0.5328959258
136	0.5324279569
137	0.5318122921
138	0.5313027282
139	0.5306135586
140	0.5297821171
141	0.5296555145
142	0.5293595614
143	0.528560996
144	0.5275869229
145	0.52689328
146	0.526461431
147	0.5261806373
148	0.5258543712
149	0.5249235039
150	0.5238402284
151	0.5227432143
152	0.5220896568
153	0.52166935
154	0.5208565919
155	0.520145172
156	0.5196239037
157	0.5194117497
158	0.5188189556
159	0.518296134
160	0.5171625946
161	0.5170400077
162	0.5168692723
163	0.5165578781
164	0.5160300509
165	0.5149619992
166	0.5148550574
167	0.5138168117
168	0.5133614232
169	0.5131180963
170	0.5129861337
171	0.5126560885
172	0.5121419494
173	0.5114165317
174	0.5106081475
175	0.509208268
176	0.5085010192
177	0.5084423536
178	0.5079014637
179	0.5074603844
180	0.5073009604
181	0.5072770762
182	0.5068890386
183	0.5065680433
184	0.5064208824
185	0.5055583308
