iter	Logloss
186	0.505254504
187	0.5050391963
188	0.5038536691
189	0.5027293041
190	0.5019749551
191	0.5012329509
192	0.5008815748
193	0.5008208517
194	0.5003130573
195	0.4997311632
196	0.4992066561
197	0.4983347515
198	0.4982654828
199	0.497905999
200	0.4972665744
201	0.496910425
202	0.4966011745
203	0.4961305778
204	0.4960311572
205	0.4956137962
206	0.4950331366
207	0.4948818723
208	0.4946745813
209	0.4942254797
210	0.4940212964
211	0.4938036716
212	0.4931021227
213	0.4930740688
214	0.4930454398
215	0.4925634364
216	0.492222783
217	0.491933271
218	0.4917483733
219	0.4915657021
220	0.4913042504
221	0.4909251222
222	0.4907685104
223	0.4901504804
224	0.4898111296
225	0.4895763171
226	0.4894565252
227	0.4887879493
228	0.4886566321
229	0.4886033438
230	0.4881040247
231	0.4878526514
232	0.4877294013
233	0.4870017999
234	0.4863967111
235	0.4858379807
236	0.4857441671
237	0.4851492076
238	0.4850207514
239	0.4846128213
240	0.4845887919
241	0.484466634
242	0.4841896781
243	0.4836194779
244	0.4832524419
245	0.4832118067
246	0.4827893214
247	0.4823287622
248	0.482102839
249	0.4820118005
250	0.4817685913
251	0.4809989885
252	0.4805632371
253	0.4800499669
254	0.4797290327
255	0.4795381547
256	0.4794400472
257	0.4792770695
258	0.47855741
259	0.4781140555
260	0.4779060494
261	0.4778038847
262	0.4777401334
263	0.4776381312
264	0.4771791725
265	0.4765113423
266	0.4763112951
267	0.4756895784
268	0.4750866605
269	0.4749315768
270	0.4745225855
271	0.474206872
272	0.4738657319
273	0.4736739031
274	0.4735010754
275	0.4732152279
276	0.4728637954
277	0.4726279048
278	0.4723483111
279	0.4720525663
280	0.4718804141
281	0.4715931133
282	0.4712110464
283	0.4710539373
284	0.4707842275
285	0.4706526777
286	0.4706168653
287	0.470021104
288	0.4698949853
289	0.4698356214
290	0.46955028
291	0.4695024022
292	0.4688502129
293	0.4686707691
294	0.4677264422
295	0.4672754092
296	0.4668525418
297	0.4664747039
298	0.4661110332
299	0.4652449865
300	0.4652146647
301	0.4646538224
302	0.4646357611
303	0.4641712428
304	0.4641093872
305	0.4638248791
306	0.4635412878
307	0.4634364625
308	0.4630012137
309	0.4626513917
310	0.4623419957
311	0.4622431934
312	0.4618664073
313	0.4618343669
314	0.4617325867
315	0.4611417224
316	0.4601944463
317	0.4599593294
318	0.4597445581
319	0.4597335763
320	0.4595236446
321	0.4593013544
322	0.4591173379
323	0.4590398045
324	0.4589870398
325	0.4587094745
326	0.4583991154
327	0.4583571631
328	0.4582733035
329	0.4581803857
330	0.4580357433
331	0.4579904023
332	0.4575128751
333	0.4570922217
334	0.4558818496
335	0.4557205957
336	0.4552860171
337	0.4546658501
338	0.4546103891
339	0.4542752457
340	0.4539886426
341	0.4538983562
342	0.453585658
343	0.4534231208
344	0.4531579736
345	0.4528741907
346	0.4526196123
347	0.4525570011
348	0.4524981047
349	0.4524260041
350	0.4523960399
351	0.4519106565
352	0.4518527278
353	0.4518504664
354	0.4510439016
355	0.4507721974
356	0.4501297611
357	0.4501071054
358	0.4496270549
359	0.4493234067
360	0.4487938545
361	0.4485704242
362	0.4472139161
363	0.4467736084
364	0.4464828453
365	0.4462797296
366	0.4460189026
367	0.4458793518
368	0.4454132266
369	0.4453726382
370	0.4452306991
371	0.4450115392
372	0.4447053256
373	0.4446810233
374	0.4445084013
375	0.4439853086
376	0.44311122
377	0.4429690162
378	0.4429122661
379	0.4425577097
380	0.4423343723
381	0.4422862795
382	0.4421329939
383	0.4421093005
384	0.4420603767
385	0.441596887
386	0.4409232955
387	0.4401316436
388	0.4397972312
389	0.4395536136
390	0.4395134547
391	0.4393702171
392	0.4393445217
393	0.4390594993
394	0.4386775405
395	0.4386580884
396	0.4384703554
397	0.4383656744
398	0.4379300457
399	0.4377031139
400	0.4375671709
401	0.4374458568
402	0.4373856853
403	0.4371480288
404	0.4369386867
405	0.4360448304
406	0.4355127433
407	0.4350914075
408	0.4349704609
409	0.4347547622
410	0.4347053242
411	0.4346766322
412	0.4344173298
413	0.4340614603
414	0.433968397
415	0.4336884562
416	0.4335541787
417	0.433054077
418	0.4326171955
419	0.4325231189
420	0.4325116205
421	0.4325001956
422	0.4321172125
423	0.4316333093
424	0.4314011796
425	0.4307370746
426	0.4304630095
427	0.430234386
428	0.4299411435
429	0.4295654186
430	0.4295540622
431	0.4291663369
432	0.4288191784
433	0.4283780714
434	0.4281063595
435	0.4280717701
436	0.4275791904
437	0.4269612463
438	0.426888836
439	0.4267593502
440	0.4267441317
441	0.4264109277
442	0.4261185553
443	0.425365394
444	0.4249461063
445	0.4244488061
446	0.4240250183
447	0.4239785594
448	0.4236987711
449	0.4234701838
450	0.4229839175
451	0.4227478772
452	0.4226199879
453	0.4225225688
454	0.422362476
455	0.4219504677
456	0.42189522
457	0.4218766432
458	0.421203684
459	0.4206000515
460	0.4204509481
461	0.420444332
462	0.4201068751
463	0.4198851125
464	0.4190588379
465	0.4187751637
466	0.4184071138
467	0.4183627609
468	0.4179730202
469	0.4178490946
470	0.417834769
471	0.4176058796
472	0.4173859186
473	0.417220944
474	0.4167865221
475	0.4165525563
476	0.4163427205
477	0.4161250432
478	0.4154415159
479	0.4153682086
480	0.4152637363
481	0.4145740463
482	0.4144893452
483	0.4140272842
484	0.4139591052
485	0.4136888391
486	0.4135341399
487	0.4134854003
488	0.4134368576
489	0.4127222546
490	0.4123824117
491	0.4123267533
492	0.4119343935
493	0.4117443476
494	0.411258076
495	0.4109005381
496	0.4106467503
497	0.4104780879
498	0.4099611848
499	0.4099113021
